"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"XXII","22nd Century Group, Inc","0.807","$112.06M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/xxii",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","3.64","$901.61M","1986","n/a","n/a","https://old.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","4.32","$98.25M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/iaf",
"AEF","Aberdeen Emerging Markets Equity Income Fund, Inc.","5.57","$282.69M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aef",
"FCO","Aberdeen Global Income Fund, Inc.","5.74","$50.08M","1992","n/a","n/a","https://old.nasdaq.com/symbol/fco",
"ACU","Acme United Corporation.","21.35","$71.26M","1988","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acu",
"ATNM","Actinium Pharmaceuticals, Inc.","0.206","$62.49M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/atnm",
"AE","Adams Resources & Energy, Inc.","28","$118.6M","n/a","Energy","Oil Refining/Marketing","https://old.nasdaq.com/symbol/ae",
"ACY","AeroCentury Corp.","2.34","$3.62M","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/acy",
"UAVS","AgEagle Aerial Systems, Inc.","1.2","$39.97M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/uavs",
"AGE","AgeX Therapeutics, Inc.","0.755","$28.43M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/age",
"AIRI","Air Industries Group","1","$30.58M","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/airi",
"AXU","Alexco Resource Corp","2.14","$266.83M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/axu",
"ALO","Alio Gold Inc.","0.9052","$76.68M","2011","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/alo",
"AAU","Almaden Minerals, Ltd.","0.466","$54.63M","2015","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/aau",
"APT","Alpha Pro Tech, Ltd.","12.51","$169.86M","n/a","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/apt",
"AAMC","Altisource Asset Management Corp","17.97","$29.22M","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/aamc",
"AMBO","Ambow Education Holding Ltd.","1.65","$35.56M","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/ambo",
"DIT","AMCON Distributing Company","57.51","$32.52M","n/a","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/dit",
"AMS","American Shared Hospital Services","1.77","$10.07M","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/ams",
"USAS","Americas Gold and Silver Corporation","2.45","$259.69M","2017","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/usas",
"AMPE","Ampio Pharmaceuticals, Inc.","0.5441","$89.7M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ampe",
"ANVS","Annovis Bio, Inc.","4.4","$30.18M","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/anvs",
"ARMP","Armata Pharmaceuticals, Inc.","3.81","$71.04M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/armp",
"AINC","Ashford Inc.","6.59","$16.4M","2014","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/ainc",
"AUG","Auryn Resources Inc.","1.33","$126.76M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/aug",
"AWX","Avalon Holdings Corporation","1.51","$5.85M","n/a","Public Utilities","Environmental Services","https://old.nasdaq.com/symbol/awx",
"ASM","Avino Silver","0.634","$48.99M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/asm",
"BTG","B2Gold Corp","5.16","$5.35B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/btg",
"BTN","Ballantyne Strong, Inc","1.6","$23.44M","n/a","Miscellaneous","Industrial Machinery/Components","https://old.nasdaq.com/symbol/btn",
"BCV","Bancroft Fund Limited","23.3","$152.69M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bcv",
"BCV^A","Bancroft Fund Limited","25.44","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bcv^a",
"BHB","Bar Harbor Bankshares, Inc.","20.25","$314.56M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bhb",
"BRN","Barnwell Industries, Inc.","0.5775","$4.78M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/brn",
"BATL","Battalion Oil Corporation","5.9","$95.6M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/batl",
"BIOX","Bioceres Crop Solutions Corp.","6.5","$234.78M","2018","Basic Industries","Agricultural Chemicals","https://old.nasdaq.com/symbol/biox",
"BIOX.WS","Bioceres Crop Solutions Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/biox.ws",
"PHGE","BiomX Inc.","5.9","$135.26M","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/phge",
"PHGE.U","BiomX Inc.","n/a","n/a","2018","n/a","n/a","https://old.nasdaq.com/symbol/phge.u",
"PHGE.WS","BiomX Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/phge.ws",
"BGI","Birks Group Inc.","0.68","$12.22M","n/a","Consumer Services","Consumer Specialties","https://old.nasdaq.com/symbol/bgi",
"BKTI","BK Technologies Corporation","2.83","$35.36M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/bkti",
"BDR","Blonder Tongue Laboratories, Inc.","0.555","$5.35M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/bdr",
"BRBS","Blue Ridge Bankshares, Inc.","14.6","$82.63M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/brbs",
"BRG","Bluerock Residential Growth REIT, Inc.","6.67","$161.97M","2014","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/brg",
"BRG^A","Bluerock Residential Growth REIT, Inc.","23.25","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/brg^a",
"BRG^C","Bluerock Residential Growth REIT, Inc.","23","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/brg^c",
"BRG^D","Bluerock Residential Growth REIT, Inc.","21.84","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/brg^d",
